Architecture    Offer                   Publisher                Sku                         Urn                                                                                   Version
x64             Windows-10              MicrosoftWindowsDesktop  19h1-ent-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-ent-gensecond:18362.1198.2011031735           18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-ent-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-ent-gensecond:18362.1256.2012032308           18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-entn-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-entn-gensecond:18362.1198.2011031735          18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-entn-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-entn-gensecond:18362.1256.2012032308          18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-pro-gensecond:18362.1198.2011031735           18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-gensecond          MicrosoftWindowsDesktop:Windows-10:19h1-pro-gensecond:18362.1256.2012032308           18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-zh-cn-gensecond    MicrosoftWindowsDesktop:Windows-10:19h1-pro-zh-cn-gensecond:18362.1198.2011031735     18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pro-zh-cn-gensecond    MicrosoftWindowsDesktop:Windows-10:19h1-pro-zh-cn-gensecond:18362.1256.2012032308     18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pron-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-pron-gensecond:18362.1198.2011031735          18362.1198.2011031735
x64             Windows-10              MicrosoftWindowsDesktop  19h1-pron-gensecond         MicrosoftWindowsDesktop:Windows-10:19h1-pron-gensecond:18362.1256.2012032308          18362.1256.2012032308
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pro-g2                 MicrosoftWindowsDesktop:Windows-10:19h2-pro-g2:18363.1500.2104092145                  18363.1500.2104092145
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pro-g2                 MicrosoftWindowsDesktop:Windows-10:19h2-pro-g2:18363.1556.2105042120                  18363.1556.2105042120
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pron-g2                MicrosoftWindowsDesktop:Windows-10:19h2-pron-g2:18363.1500.2104092145                 18363.1500.2104092145
x64             Windows-10              MicrosoftWindowsDesktop  19h2-pron-g2                MicrosoftWindowsDesktop:Windows-10:19h2-pron-g2:18363.1556.2105042120                 18363.1556.2105042120
x64             Windows-10              MicrosoftWindowsDesktop  20h2-ent                    MicrosoftWindowsDesktop:Windows-10:20h2-ent:19042.2846.230329                         19042.2846.230329
x64             Windows-10              MicrosoftWindowsDesktop  20h2-ent                    MicrosoftWindowsDesktop:Windows-10:20h2-ent:19042.2965.230505                         19042.2965.230505
x64             Windows-10              MicrosoftWindowsDesktop  20h2-ent-g2                 MicrosoftWindowsDesktop:Windows-10:20h2-ent-g2:19042.2846.230329                      19042.2846.230329
x64             Windows-10              MicrosoftWindowsDesktop  20h2-ent-g2                 MicrosoftWindowsDesktop:Windows-10:20h2-ent-g2:19042.2965.230505                      19042.2965.230505
x64             Windows-10              MicrosoftWindowsDesktop  20h2-entn                   MicrosoftWindowsDesktop:Windows-10:20h2-entn:19042.2846.230329                        19042.2846.230329
x64             Windows-10              MicrosoftWindowsDesktop  20h2-entn                   MicrosoftWindowsDesktop:Windows-10:20h2-entn:19042.2965.230505                        19042.2965.230505
x64             Windows-10              MicrosoftWindowsDesktop  20h2-entn-g2                MicrosoftWindowsDesktop:Windows-10:20h2-entn-g2:19042.2846.230329                     19042.2846.230329
x64             Windows-10              MicrosoftWindowsDesktop  20h2-entn-g2                MicrosoftWindowsDesktop:Windows-10:20h2-entn-g2:19042.2965.230505                     19042.2965.230505
x64             Windows-10              MicrosoftWindowsDesktop  20h2-evd                    MicrosoftWindowsDesktop:Windows-10:20h2-evd:19042.2846.230329                         19042.2846.230329
x64             Windows-10              MicrosoftWindowsDesktop  20h2-evd                    MicrosoftWindowsDesktop:Windows-10:20h2-evd:19042.2965.230505                         19042.2965.230505
x64             Windows-10              MicrosoftWindowsDesktop  20h2-evd-g2                 MicrosoftWindowsDesktop:Windows-10:20h2-evd-g2:19042.2846.230329                      19042.2846.230329
x64             Windows-10              MicrosoftWindowsDesktop  20h2-evd-g2                 MicrosoftWindowsDesktop:Windows-10:20h2-evd-g2:19042.2965.230505                      19042.2965.230505
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise              MicrosoftWindowsDesktop:Windows-10:rs1-enterprise:14393.7699.250109                   14393.7699.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise              MicrosoftWindowsDesktop:Windows-10:rs1-enterprise:14393.7785.250210                   14393.7785.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise              MicrosoftWindowsDesktop:Windows-10:rs1-enterprise:14393.7876.250306                   14393.7876.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise              MicrosoftWindowsDesktop:Windows-10:rs1-enterprise:14393.7973.250409                   14393.7973.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise              MicrosoftWindowsDesktop:Windows-10:rs1-enterprise:14393.8066.250511                   14393.8066.250511
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.7699.250109                14393.7699.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.7785.250210                14393.7785.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.7876.250306                14393.7876.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.7973.250409                14393.7973.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.8066.250511                14393.8066.250511
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen:14393.7699.250109                  14393.7699.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen:14393.7785.250210                  14393.7785.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen:14393.7876.250306                  14393.7876.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen:14393.7973.250409                  14393.7973.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen:14393.8066.250511                  14393.8066.250511
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.7699.250109               14393.7699.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.7785.250210               14393.7785.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.7876.250306               14393.7876.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.7973.250409               14393.7973.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs1-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.8066.250511               14393.8066.250511
x64             Windows-10              MicrosoftWindowsDesktop  rs4-pro-g2                  MicrosoftWindowsDesktop:Windows-10:rs4-pro-g2:17134.1246.2001090113                   17134.1246.2001090113
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise              MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.6775.250109                   17763.6775.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise              MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.6893.250210                   17763.6893.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise              MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.7009.250306                   17763.7009.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise              MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.7240.250409                   17763.7240.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise              MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.7314.250509                   17763.7314.250509
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise              MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.7322.250524                   17763.7322.250524
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.6775.250109                17763.6775.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.6893.250210                17763.6893.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.7009.250306                17763.7009.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.7240.250409                17763.7240.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.7314.250509                17763.7314.250509
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise-g2           MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.7322.250524                17763.7322.250524
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprise-standard-g2  MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-standard-g2:17763.1935.2105080716   17763.1935.2105080716
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.6775.250109                  17763.6775.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.6893.250210                  17763.6893.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.7009.250306                  17763.7009.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.7240.250409                  17763.7240.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.7314.250509                  17763.7314.250509
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen             MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.7322.250524                  17763.7322.250524
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.6775.250109               17763.6775.250109
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.6893.250210               17763.6893.250210
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.7009.250306               17763.7009.250306
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.7240.250409               17763.7240.250409
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.7314.250509               17763.7314.250509
x64             Windows-10              MicrosoftWindowsDesktop  rs5-enterprisen-g2          MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.7322.250524               17763.7322.250524
x64             Windows-10              MicrosoftWindowsDesktop  rs5-evd-g2                  MicrosoftWindowsDesktop:Windows-10:rs5-evd-g2:17763.2300.2111032328                   17763.2300.2111032328
x64             Windows-10              MicrosoftWindowsDesktop  rs5-evd-g2                  MicrosoftWindowsDesktop:Windows-10:rs5-evd-g2:17763.2366.2112070401                   17763.2366.2112070401
